"PathwayName"	"DataBase"	"SignatureSize"	"PathwaySize"	"Overlap"	"Pvalue"	"Qvalue"	"OverlapGenes"
"NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 526"	" 61"	"2.040671e-02"	"1.479728e-01"	"PCMTD1 IL1RL1 KDM5B ASS1 LCN2 NR4A2 CAT BTBD3 PLK1S1 RNF114 RBM38 DMD TAF9B S100A8 S100A9 IGSF3 CACHD1 STEAP4 CACNA2D1 TESC TRIM56 MKRN1 HIBADH RAB43 SLC2A3 SEMA4B SEZ6L2 IFITM1 ANK3 MIDN MKNK2 ZBTB7A IKBIP LTA4H RBL2 KLF5 CLDN10 PARP6 FBXO9 AZI2 RNF135 NBR1 SLC22A23 ITGA2 SDC1 ARG2 PLXNB2 SNN CXADR TAPBP HLA-E VEGFA SATB1 LRG1 KIAA0141 APCDD1 ATP8B1 RAB27B ATG2A VLDLR AK3"
"PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 186"	" 12"	"8.746538e-01"	"9.879810e-01"	"RGL1 LAMC1 DARC RND3 MMP9 TMEM176B TMEM176A PLA2G4C TJP1 GJA1 LIFR ACVRL1"
"PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 123"	" 11"	"4.448515e-01"	"7.315575e-01"	"RGS1 NR4A2 ZBTB10 KLF4 GADD45A MXD1 SLC2A3 ETNK1 JMJD1C IRF2BP2 TTC7A"
"LU_TUMOR_VASCULATURE_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  25"	"  5"	"2.200056e-02"	"1.543191e-01"	"MMP9 EGFL6 ISG15 VCAN SCIN"
"KORKOLA_EMBRYONAL_CARCINOMA_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  38"	"  6"	"5.285561e-02"	"2.498852e-01"	"GDF3 SLC2A3 TNFRSF1A CCND2 KLRD1 PLBD1"
"KORKOLA_TERATOMA_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  15"	"  3"	"4.128291e-02"	"2.223065e-01"	"SLC2A3 TNFRSF1A CCND2"
"KORKOLA_YOLK_SAC_TUMOR_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  18"	"  2"	"2.215797e-01"	"5.184735e-01"	"SLC2A3 CCND2"
"KORKOLA_SEMINOMA_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  39"	"  5"	"1.390606e-01"	"4.200646e-01"	"ERC1 SLC2A3 CCND2 CREBL2 PLBD1"
"WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  90"	"  1"	"9.981717e-01"	"1.000000e+00"	"RBL2"
"WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  80"	"  5"	"7.470903e-01"	"9.303475e-01"	"KBTBD2 ARHGEF18 POU2AF1 MNT KHSRP"
"HOLLMANN_APOPTOSIS_VIA_CD40_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 181"	" 18"	"2.903421e-01"	"5.964733e-01"	"LEF1 TOX CD38 ATP8A1 CUX1 ADCK2 CD22 CKAP4 TIMELESS MFHAS1 BLK XPO7 PDGFD ADAM19 MYH10 ITGB7 C6orf106 SS18"
"HOLLMANN_APOPTOSIS_VIA_CD40_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 216"	" 23"	"1.782436e-01"	"4.675744e-01"	"STAT1 BRD3 UBE2L6 RAG1 DENND2D BACH2 TDRD7 ZC3HAV1 ST3GAL5 SPINT2 CRTC3 UROS IFITM1 S1PR4 RNASE6 KIAA0226L DPY19L1 LGALS3BP CPOX HLA-E SATB1 MBP FADS2"
"LIU_PROSTATE_CANCER_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  83"	"  9"	"2.209477e-01"	"5.203772e-01"	"SLC43A1 TP53INP1 BEND4 HPN TMEM161A CANT1 PYCR1 TSPAN13 ENTPD5"
"LIU_PROSTATE_CANCER_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 406"	" 37"	"4.525370e-01"	"7.361845e-01"	"PPP1R12B OPTN GPR155 ADAM33 DMD MECOM S100A4 S100A6 SYNPO2 CACHD1 CYP4B1 EPHA2 JAZF1 TTLL3 CCND2 EHD2 GJA1 NTN4 SCRG1 NR3C2 ZNF827 PDGFD PDE4A FXYD6 PARP6 UBA7 GALNT10 ARHGAP23 LYST ITGA2 SDC1 HLA-E VEGFA SLC14A1 CD248 MARVELD1 SLC18A2"
"LIU_SOX4_TARGETS_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 124"	" 14"	"1.561802e-01"	"4.442587e-01"	"FAM107B THBS1 ATRX LEF1 PRDM2 CUX1 BPGM ISG20 SWAP70 USP31 RANBP10 EPDR1 FUT8 MBP"
"LIU_SOX4_TARGETS_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 282"	" 20"	"8.610823e-01"	"9.815280e-01"	"PBX1 PPOX GPATCH2 SPATA5L1 RBCK1 SOX12 KIAA0319L EP400 RAF1 FBXL14 UROS MKNK2 PKN1 SMARCA4 TRAF4 VEGFA SRF ATP9B CPT1A PCGF6"
"ONKEN_UVEAL_MELANOMA_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 704"	" 55"	"8.761190e-01"	"9.892709e-01"	"NCOA2 STAT1 PGAP1 LAMC1 PRRC2C DCAF8 OLFM1 ASS1 NR4A2 FGF13 IRAK1 ZBTB10 S100A6 ASTN2 ISG15 GPR125 CDK2AP1 CUX1 CNOT4 VOPP1 CCND2 ITPR2 HERC2 IFITM1 IFITM2 PHLDA2 CTTN CHST3 JMJD1C MCM3AP PLXNC1 NQO1 SAMD4A GCH1 PDE4A SMARCA4 FXYD6 CHD3 ACADVL MSL1 RIN3 TRAF3 MCM4 C2CD2 TAPBP HLA-DRB1 HLA-E MAP4K3 DMXL1 CD74 HMGXB3 MACROD1 FADS3 VLDLR SCD"
"ONKEN_UVEAL_MELANOMA_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 482"	" 48"	"2.248796e-01"	"5.215094e-01"	"KDM5B FAM129A PBX1 SDC4 DMD ITM2A TSPAN6 BEX4 PRKACB FAM3C AHCYL2 SNCA RMND5A TGOLN2 MCM2 LMCD1 MTMR14 RAF1 MBD4 ERC1 MANSC1 CREBL2 TJP1 COX6A2 CCDC28A LTA4H CSGALNACT1 WWP2 MBTPS1 ATXN7 TOP2B CAPN7 KLF5 PDGFD ACP5 PLSCR4 IP6K1 ADCY6 ZBTB20 ST3GAL6 NRIP1 CXADR PEX6 SATB1 KAT2B SS18 MGEA5 ABLIM1"
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 177"	" 27"	"2.700656e-03"	"4.147558e-02"	"STAT1 RGS1 SPATA5L1 EPB41 TNFRSF14 CD38 ATP8A1 FBRSL1 FBXL14 STYK1 FAM53B ADAM8 ELL IL12RB1 HSH2D IL27RA ATXN7 ZMIZ2 CCDC88C TRAF3 PARVB ITGB7 C2CD2 GALM MINPP1 ANKRD22 NFKB2"
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 149"	" 15"	"2.802901e-01"	"5.860524e-01"	"C1orf116 PTPN14 CACHD1 KLHDC10 AQP1 CAPN5 ZCCHC24 PDGFD MPRIP MYH10 MBOAT2 MDFI KCTD1 TMEM134 AHNAK"
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 304"	" 28"	"4.230954e-01"	"7.150909e-01"	"RGS1 LAMC1 TGM2 CPA3 S100A4 GIMAP6 LMCD1 SLC2A3 CCND2 PLAUR MMP11 PLXNC1 NRP1 SAMD4A RNASE6 DPY19L1 PLSCR4 ADAM19 SPHK1 INHBA VCAN F2R SDC2 ST3GAL6 HLA-DQA1 HLA-DRB1 ZEB1 CD74"
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  70"	"  4"	"7.752871e-01"	"9.417003e-01"	"TBC1D8 PDZK1IP1 PTPRF ABAT"
"DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  51"	"  9"	"1.525038e-02"	"1.258696e-01"	"ASS1 MORC4 PAX5 MN1 GADD45A TBC1D9 RASL10A MYCN ABAT"
"DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  18"	"  2"	"2.215797e-01"	"5.184735e-01"	"TRIB2 SPRY4"
"FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  20"	"  2"	"2.721054e-01"	"5.758247e-01"	"PID1 MACROD1"
"FOURNIER_ACINAR_DEVELOPMENT_LATE_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  20"	"  1"	"5.547868e-01"	"8.044770e-01"	"EPHA2"
"NAM_FXYD5_TARGETS_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  18"	"  1"	"4.970579e-01"	"7.704177e-01"	"AGK"
"FRASOR_TAMOXIFEN_RESPONSE_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  48"	" 10"	"3.281508e-03"	"4.703238e-02"	"FAM129A MECOM KBTBD2 PCYOX1 ETNK1 RAB30 CPM UPF1 SDC1 MSH2"
"KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 101"	"  7"	"7.105795e-01"	"9.085441e-01"	"TGM2 ISG20 TRIM58 CLDN7 ICAM2 CXADR FADS3"
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 267"	" 26"	"3.103878e-01"	"6.185521e-01"	"STAT1 PGAP1 LAMC1 SCAI ATP11C SYNPO2 UNG ETNK1 TM7SF3 GJA1 CKAP4 IKBIP DPY19L1 INHBA HIVEP1 ZNF367 VCAN MCM4 TFRC PLA2G7 UHRF1 TWSG1 EMILIN2 SOCS5 MINPP1 ANKRD22"
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 270"	" 29"	"1.466005e-01"	"4.321750e-01"	"C1orf116 FCRLA ASS1 LCN2 TSPAN6 S100A9 GCLM PAX5 EPB41L4B PDZK1IP1 CYP4B1 VPS37B CAPN5 CD19 VPREB3 NQO1 CLDN10 POU2AF1 TEX9 LTF ABCA13 CLDN7 ALOX15 MYO1D RSPH9 LRG1 CXXC5 MS4A1 ABLIM1"
"WATANABE_COLON_CANCER_MSI_VS_MSS_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  24"	"  3"	"1.694032e-01"	"4.648051e-01"	"RGS1 CASP2 RAB27B"
"WATANABE_COLON_CANCER_MSI_VS_MSS_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  66"	"  3"	"8.624179e-01"	"9.825928e-01"	"IGF1R KIAA0226L ACSL6"
"KOBAYASHI_EGFR_SIGNALING_6HR_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  18"	"  3"	"7.454973e-02"	"2.987848e-01"	"EPHA2 PHLDA2 VEGFA"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 137"	"  6"	"9.711312e-01"	"1.000000e+00"	"MYBL2 MCM2 TIMELESS CDC25A APOBEC3B MCM4"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  49"	"  4"	"4.643587e-01"	"7.469773e-01"	"CRTC3 DEAF1 ARHGEF12 NBR1"
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  22"	"  2"	"3.236693e-01"	"6.335698e-01"	"DENND2D DPY19L1"
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 411"	" 51"	"9.226571e-03"	"9.241672e-02"	"TBC1D8 SMG7 PRRC2C LCN2 PRG2 RPAP1 PLK1S1 TAF9B AHDC1 ZDHHC18 TNFRSF14 ISG15 TMEM120B ORAI2 SUN1 GPR12 BRCA2 ICA1 MMRN1 MXD1 WNK1 BICD1 ITPKC MYCT1 RHOBTB1 MCM3AP TCF3 TBXA2R GNA11 TAC3 DCUN1D2 ANK1 UPF1 MYO9B PGLS IL27RA NQO1 ZCCHC24 CLDN10 ACP5 FBXO9 AZI2 RANBP17 GGA3 DHX29 ARG2 LPIN2 ATP8B1 CPT1A TMEM134 MS4A2"
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  28"	"  4"	"1.053762e-01"	"3.616951e-01"	"CA2 CAPN7 PDE4A PPAP2A"
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  29"	"  0"	"9.373145e-01"	"1.000000e+00"	""
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  33"	"  4"	"1.767179e-01"	"4.694070e-01"	"SLC2A3 FXYD6 HLA-DQA1 GABBR1"
"GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  56"	"  7"	"1.331380e-01"	"4.114137e-01"	"AGBL5 BRCA2 ADCK2 ITPR2 RB1 SMARCA4 APEH"
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 128"	"  7"	"9.058038e-01"	"1.000000e+00"	"RPIA ST3GAL5 NUP210 ADAM19 MCM4 UHRF1 MTA3"
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 315"	" 34"	"1.253920e-01"	"3.988559e-01"	"AP1S3 LCN2 GALNT3 SESTD1 SH3D19 FAM110B RGP1 KLF4 ASTN2 TINAGL1 RELN GPR125 BCL7B CUX1 SUN1 EXOC4 EPHA1 CCND2 TM7SF3 EPS8L1 MRI1 RBL2 NFAT5 IL17RB KIF9 SLC6A20 CCR9 CLDN7 CCDC57 STXBP6 CXADR CRAMP1L IFT140 CLCF1"
"IGARASHI_ATF4_TARGETS_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  80"	"  5"	"7.470903e-01"	"9.303475e-01"	"KLF4 FAM3C ETNK1 RHOBTB1 ATP9B"
"ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 158"	" 12"	"6.894917e-01"	"8.964710e-01"	"OPTN ITPR1 NRIP3 GCH1 ZMIZ2 SPHK1 LIFR APOBEC3B BAIAP3 C6orf106 EHD1 DNMBP"
"ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  59"	"  1"	"9.753895e-01"	"1.000000e+00"	"MACROD1"
"DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 295"	" 37"	"1.811565e-02"	"1.385847e-01"	"ARHGEF4 CAMSAP1 NOTCH1 BRD3 ASS1 PRRC2B EYA2 MORC4 S1PR1 LMO4 GNE RNF38 PAX5 ASTN2 PTPRF NKAIN1 TMEM120B CDK2AP1 GADD45A SPINT2 HERC2 KIAA0556 PCNT GMIP TBC1D9 SAMD4A FBXO9 CEP68 PIPOX CDYL ISCA1 PPAP2A MYCN CRIP2 ABAT LIPG DNMBP"
"DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 165"	" 18"	"1.701136e-01"	"4.646709e-01"	"NCOA2 FAM129A RGL1 GPC4 ITM2A FAM110B PTPN13 TNFRSF1A PLBD1 CPM SH3BP5 FAM160B2 MGAT1 CACNA1G SDC1 TRIB2 CD248 EHD1"
"DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 236"	" 39"	"8.602714e-05"	"4.245855e-03"	"EYA1 ASS1 THBS1 SDC4 MORC4 PAX5 KLF4 EPB41L4B JAK1 ID3 ADD1 MN1 FAM3C ARF5 DFNA5 GADD45A ST3GAL5 GATA2 CCND2 RHOBTB1 PLXNC1 TSPAN8 ANK1 TBC1D9 IL27RA SH3BP5 PDGFD DPY19L1 RASL10A ADAM19 GALNT10 INHBA MYCN SDC2 CARD10 APOBEC3B ABAT HES1 SATB1"
"DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  60"	"  7"	"1.759731e-01"	"4.689552e-01"	"TBC1D8 ITPR1 KIAA0226L TRIB2 LRRN3 MAP3K9 SPRY4"
"DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  53"	" 12"	"7.327639e-04"	"1.834158e-02"	"EYA1 ASS1 MORC4 EPB41L4B MN1 FAM3C GADD45A ANK1 TBC1D9 PDGFD MYCN ABAT"
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 345"	" 28"	"7.022097e-01"	"9.015153e-01"	"WDFY1 ZBED6 RGS1 F5 DMD ATRX ZBTB10 TRIM2 ASB17 RASSF6 PARM1 PTPN13 WASL CHD4 ETNK1 SPIB PHLDA2 TNFRSF19 KLF5 CDC25A FAM120A RSAD2 LIFR SLC22A3 HLA-DQA1 TWSG1 MEGF10 AK3"
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 117"	" 14"	"1.101056e-01"	"3.714697e-01"	"SERTAD4 ASS1 LCN2 S100A8 S100A9 BACH2 CD72 DNAJC6 PDZK1IP1 BICD1 SUSD2 NQO1 AMICA1 MS4A1"
"TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  55"	"  7"	"1.233546e-01"	"3.950447e-01"	"DCAF8 NR4A2 GALNT3 SPATA5L1 MYO1D ST3GAL6 USP25"
"TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  40"	"  2"	"7.182141e-01"	"9.130599e-01"	"EDEM3 VCAN"
"TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 152"	" 11"	"7.386455e-01"	"9.231183e-01"	"RND3 TRIM2 SYNPO2 PDZK1IP1 HOXA3 USP31 SLC25A37 SCN4B LTF ST3GAL6 SOCS5"
"TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  69"	"  5"	"6.078377e-01"	"8.406704e-01"	"VOPP1 EPS15L1 INHBA VCAN FUT8"
"TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  52"	"  2"	"8.639191e-01"	"9.828394e-01"	"SYNPO2 BACH2"
"TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  15"	"  0"	"7.611359e-01"	"9.370653e-01"	""
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  63"	"  7"	"2.115948e-01"	"5.044645e-01"	"RGS1 IFI44 TIE1 PLXNC1 INHBA VCAN ZEB1"
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  78"	"  8"	"2.774937e-01"	"5.825939e-01"	"GALNT3 DMD ITM2A CA2 KCTD14 NR3C2 IL17RB ITGA2"
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  83"	"  7"	"4.871464e-01"	"7.612245e-01"	"DMD CA2 TRIM2 CD36 MUC6 IL17RB ITGA2"
"TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  65"	"  5"	"5.480243e-01"	"8.006467e-01"	"RGS1 STK39 IFI44 MMP11 VCAN"
"CHANDRAN_METASTASIS_TOP50_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  34"	"  3"	"3.746836e-01"	"6.813441e-01"	"KIAA1147 IRF2BP2 RALA"
"CHANDRAN_METASTASIS_TOP50_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  43"	"  2"	"7.631457e-01"	"9.338102e-01"	"POMT1 APCDD1"
"WILCOX_RESPONSE_TO_PROGESTERONE_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 128"	"  5"	"9.796774e-01"	"1.000000e+00"	"CDKN2AIP KLF5 LIPG FADS2 SCD"
"WILCOX_RESPONSE_TO_PROGESTERONE_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  52"	"  5"	"3.345972e-01"	"6.407181e-01"	"THBS1 IGF1R CPM INHBA PRRC2A"
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 509"	" 48"	"3.596253e-01"	"6.653286e-01"	"SERPINB2 RGS1 FAM129A IL1B SMOX TGM2 CD40 CYBB MOB3B UBR4 COX18 AGPAT9 CASP2 ST3GAL5 ITPR1 MTMR14 PLEKHA5 KCNN4 PLAUR HOMER2 NRIP3 ADAM8 LSP1 PHLDA2 TCF3 HMG20B IL27RA NFAT5 NQO1 IRF2BP2 NRP1 SH3BP5 FXYD6 SEMA7A ADAM19 ALOX15 RILP DHRS11 INHBA IRF4 CDYL FAM120A IL7R SDC2 ST3GAL6 MAPK13 KHSRP MINPP1"
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 384"	" 49"	"6.169509e-03"	"7.137503e-02"	"UBE2L6 MADD ELMO2 GNB4 PRKACB IFI44 TBC1D2 KLF4 PITHD1 CD36 CD38 KLF3 OAS3 TMEM140 ZNRF2 NT5C3 HERC6 ALMS1 MXD1 PRKD2 BLVRB ISG20 IFITM1 IFITM2 LTA4H CPM PDE4C FAM65A SAMD4A GCH1 RB1 KLF5 AMICA1 KLHDC8B AP1B1 RARA LGALS3BP SLC22A23 COL4A3BP RSAD2 PARP10 APOBEC3B NRIP1 FPR1 FPR2 SPIRE1 MBP ALDH1A1 LZTS2"
"GARY_CD5_TARGETS_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 428"	" 53"	"8.537912e-03"	"8.826354e-02"	"STAT1 WNT10A WDFY1 RGS1 TOR3A GFI1B SH3GLB2 FAM102A SESTD1 SLC43A1 CAMK2D CD72 KIAA0319L FGR MKRN1 BRAF KIAA1147 HIBADH TPRA1 NUP210 WNK1 SLC2A3 DMPK MARK4 CD22 SPIB LSP1 MIDN MKNK2 HMG20B PAN2 MFHAS1 PKN1 NFAT5 IRF2BP2 SLC25A37 APEH TMC6 TMC8 RALA ZFP36L1 PARVB AGPAT1 PRRC2A HLA-E VEGFA CD74 MBP PACS1 MACROD1 VLDLR SCD NFKB2"
"GARY_CD5_TARGETS_DN"	"MSigDB_c2_cgp_v5"	"1361"	" 396"	" 27"	"9.389180e-01"	"1.000000e+00"	"AFF3 CYBB TAF9B RUNX1T1 CLSPN SH3TC1 CDK2AP1 CNOT4 IKBIP TBC1D9 TNPO2 GPR183 ETS1 CDC25A CDK12 ISCA1 ZNF367 KIAA0947 DHX29 TFRC LTB UHRF1 FRMD8 POLA2 MS4A1 BLNK MGEA5"
